支払手段,取引先名称,科目,細目
JCBデビット,マクドナルド根岸駅前店,食費,飲料
JCBデビット,一〇八抹茶茶廊,食費,カフェ
JCBデビット,ファミリーマート　熱海駅前,食費,飲料
JCBデビット,ＪＲ　東日本,立替・資金移動,精算
JCBデビット,ラスカ熱海,交際費,飲食
JCBデビット,セブン－イレブン小田急ビナガーデンズオ,食費,飲料
JCBデビット,２２１３ハックドラッグサクラス戸塚店,消耗品,日用品
JCBデビット,ミニストップ　神宮前１丁目,食費,間食
JCBデビット,ＳＱ＊ｈｏｌｌｏ,美容・衣類,美容院
JCBデビット,サンマルクカフェ　西鉄イン新宿店,食費,夕食
JCBデビット,スターバックスコーヒー,食費,カフェ
JCBデビット,ＦＵＪＩ寒川,食費,昼食
JCBデビット,ＳＱ＊旧三福不動産,教養,会場
JCBデビット,ローソン戸塚町矢沢,食費,間食
JCBデビット,みなとみらい線　タッチ決済,交通費,電車
JCBデビット,ＳＱ＊ベーカリー三三,食費,カフェ
JCBデビット,２３２９ハックドラッグ横浜南太田店,消耗品,日用品
JCBデビット,ＤＣＳ・戸塚駅店,食費,カフェ
JCBデビット,ココナラ,教養,習い事
JCBデビット,ローソン中山駅前,食費,間食
JCBデビット,バーガーキング,食費,昼食
JCBデビット,ＤＣＳ・横浜北幸店,食費,カフェ
JCBデビット,Ｓｕｉｃａ［携帯決済］,立替・資金移動,精算
JCBデビット,ドトールコーヒー,食費,カフェ
JCBデビット,ココカラファイン,消耗品,日用品
JCBデビット,スーパーマルヤマ　藤棚店,食費,昼食
JCBデビット,ベローチェ鴨居店,食費,カフェ
JCBデビット,スクエア・マスター・シークレッツ,教養,習い事
JCBデビット,ドラッグストアスマイル藤棚店,食費,昼食
JCBデビット,エムズ歯科クリニック弘明寺,医療費,診察
JCBデビット,セブン－イレブン横浜石川町２丁目店,食費,飲料
JCBデビット,５倍塾受講生限定フォ－ラム,教養,習い事
JCBデビット,モスバーガー,食費,カフェ
JCBデビット,東急電鉄（株）　タッチ決済,交通費,電車
JCBデビット,株式会社オミアイ,教養,会場
JCBデビット,カフェ　ラ・ボエム　自由が丘,交際費,飲食
JCBデビット,＊ゲオアレコレレンタル,消耗品,その他
JCBデビット,ヨークフーズ港南中央店,食費,昼食
JCBデビット,ローソン横浜下川井町,食費,間食
JCBデビット,ＡＩＡＩＣＡＦＥ／Ａｉｒ,食費,カフェ
JCBデビット,カフェジュニア戸塚駅西口店,食費,カフェ
JCBデビット,ラクマ,消耗品,その他
JCBデビット,セブン－イレブン横浜戸塚旭町通り店,食費,飲料
JCBデビット,ふじだな接骨院／Ａｉｒ,医療費,診察
JCBデビット,＊ゴバイジユクジユコウセイゲンテイフオ－ラム,教養,習い事
JCBデビット,サンマルクカフェ　新宿新南口店,食費,夕食
JCBデビット,Ｃａｆｆｉｃｅ,交際費,飲食
JCBデビット,ローソン旭本村町,食費,夕食
JCBデビット,スターバックス　モバイルオーダー,食費,カフェ
JCBデビット,ファミリーマート　寒川倉見東,食費,飲料
JCBデビット,ファミリーマート　戸部駅東,食費,飲料
JCBデビット,食品館あおば　弘明寺店,交際費,贈答
JCBデビット,串家物語,交際費,飲食
JCBデビット,ＴＯ　ＴＨＥ　ＨＥＲＢＳ渋谷店／Ａｉｒ,交際費,飲食
JCBデビット,無印良品,消耗品,生活用品
JCBデビット,＊スイカ　ケイタイケツサイ,立替・資金移動,精算
JCBデビット,＊タリ－ズコ－ヒ－,食費,カフェ
JCBデビット,＊ローソン,食費,飲料
JCBデビット,Ｈｅｒａｚｉｋａ,教養,会場
JCBデビット,＊サンワサクラストツカテン,食費,昼食
JCBデビット,＊ミニストツプ,食費,飲料
JCBデビット,＊メルカリ,美容・衣類,コスメ
JCBデビット,＊ニユ－デイズ　キオスク,食費,飲料
JCBデビット,ファミリーマート　中山駅南口,食費,間食
JCBデビット,アソビュー！,交際費,イベント
JCBデビット,なか卯,食費,昼食
JCBデビット,ヤマト運輸株式会社,美容・衣類,洋服
JCBデビット,株式会社ウィズ,交際費,その他
JCBデビット,＊ヤマトウンユ,美容・衣類,洋服
JCBデビット,ファミリーマート　本厚木駅前,食費,間食
JCBデビット,ベローチェ厚木中町店,食費,昼食
JCBデビット,セブン－イレブン厚木恩名３丁目店,食費,飲料
JCBデビット,ファミリーマート　横浜鴨居駅前,食費,飲料
JCBデビット,京急電鉄　交通利用,交通費,電車
JCBデビット,横浜スタジアム,交際費,イベント
JCBデビット,小松商事精算機,交通費,その他
JCBデビット,ウィングキッチン京急川崎,食費,飲料
