日付,方法,カテゴリ,カテゴリの内訳,支払元,入金先,品目,メモ,お店,通貨,収入,支出,振替,残高調整,通貨変換前の金額,集計の設定
2026-06-12,payment,食費,朝ご飯,Suica,-,Pイヤルミルクティ,,"ミスタードーナツ 戸塚西口ショップ","（プレミアム会員で表示）",0,363,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-12,payment,教育・教養,その他,-,-,,,-,"（プレミアム会員で表示）",0,120,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-13,payment,交際費,その他,-,-,ふれあい,,-,"（プレミアム会員で表示）",0,2100,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-17,payment,食費,カフェ,Suica,-,ロイヤルミルクティーS,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,110,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-18,payment,食費,朝ご飯,Suica,-,ロイヤルミルクティ,,ミスタードーナツ茅ケ崎北口ショップ,"（プレミアム会員で表示）",0,363,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-22,payment,食費,朝ご飯,Suica,-,ロイヤルミルクティ,,"ミスタードーナツ 戸塚西口ショップ","（プレミアム会員で表示）",0,363,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-22,payment,交通,電車,-,-,,,-,"（プレミアム会員で表示）",0,803,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-22,payment,交通,電車,-,-,,,-,"（プレミアム会員で表示）",0,803,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-23,payment,食費,昼ご飯,Suica,-,B.LT,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,398,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-23,payment,食費,昼ご飯,Suica,-,紅茶,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,928,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-23,payment,食費,昼ご飯,Suica,-,割引,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,-58,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-23,payment,食費,昼ご飯,Suica,-,不明,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,-398,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-29,payment,食費,カフェ,Suica,-,回数券,,ベックスコーヒー横浜駅南口店,"（プレミアム会員で表示）",0,1750,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-29,payment,食費,カフェ,Suica,-,ロイヤルミルクティーS,,ベックスコーヒー横浜駅南口店,"（プレミアム会員で表示）",0,500,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-29,payment,食費,カフェ,Suica,-,割引,,ベックスコーヒー横浜駅南口店,"（プレミアム会員で表示）",0,-390,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-30,payment,食費,カフェ,Suica,-,ロイヤルミルクティーS,,ベックスコーヒー横浜駅南口店,"（プレミアム会員で表示）",0,500,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-06-30,payment,食費,カフェ,Suica,-,割引,,ベックスコーヒー横浜駅南口店,"（プレミアム会員で表示）",0,-390,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-07-01,payment,食費,カフェ,Suica,-,ロイヤルミルクティーS,,ベックスコーヒー横浜駅南口店,"（プレミアム会員で表示）",0,500,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-07-01,payment,食費,カフェ,Suica,-,割引,,ベックスコーヒー横浜駅南口店,"（プレミアム会員で表示）",0,-390,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-07-02,payment,食費,朝ご飯,Suica,-,ロイヤルミルクティ,,"ミスタードーナツ 戸塚西口ショップ","（プレミアム会員で表示）",0,363,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-07-03,payment,食費,朝ご飯,Suica,-,ロイヤルミルクティ,,"ミスタードーナツ 戸塚西口ショップ","（プレミアム会員で表示）",0,363,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
